timestamp,wind_speed,power,wind_direction,ambient_temperature,turbine_status,pitch_angle,relative_wind_direction
2025-01-01 00:00:00,11.89,2902.55,223.1,1.4,1,-0.54,8.5
2025-01-01 01:00:00,6.65,39.83,197.5,4.3,1,-0.46,2.2
2025-01-01 02:00:00,2.55,56.09,233.7,-0.5,1,-0.47,8.6
2025-01-01 03:00:00,7.08,340.5,217.9,0.7,1,0.25,1.0
2025-01-01 04:00:00,7.44,,227.7,0.6,1,-0.34,-2.1
2025-01-01 05:00:00,4.05,0.0,218.2,-5.0,1,-0.7,2.7
2025-01-01 06:00:00,13.92,3021.57,224.3,-5.2,1,4.56,-12.9
2025-01-01 07:00:00,4.32,3.67,252.7,-1.4,1,0.61,-2.1
2025-01-01 08:00:00,11.12,2205.58,239.5,-5.7,1,0.74,2.2
2025-01-01 09:00:00,7.25,328.87,230.2,-5.8,1,0.05,-3.2
2025-01-01 10:00:00,15.45,2969.55,196.1,-1.9,1,6.09,0.1
2025-01-01 11:00:00,9.26,1001.72,226.4,-3.2,1,-0.21,-14.9
2025-01-01 12:00:00,4.55,167.35,255.9,-2.5,1,0.21,6.1
2025-01-01 13:00:00,5.32,89.73,186.5,0.3,1,-0.11,2.8
2025-01-01 14:00:00,9.72,1306.44,235.6,0.1,1,0.12,-5.0
2025-01-01 15:00:00,12.5,2967.56,232.9,2.2,1,0.5,-3.1
2025-01-01 16:00:00,7.3,385.54,239.7,0.3,1,0.55,1.7
2025-01-01 17:00:00,5.27,95.65,223.5,4.2,1,-1.11,2.3
2025-01-01 18:00:00,12.01,3010.3,225.7,3.3,1,1.0,-0.2
2025-01-01 19:00:00,3.47,0.0,232.4,7.2,1,-0.56,5.4
2025-01-01 20:00:00,7.36,219.41,232.1,2.9,1,-0.43,0.3
2025-01-01 21:00:00,3.78,42.45,209.4,4.0,1,-0.03,-1.2
2025-01-01 22:00:00,9.26,1155.03,217.1,3.6,1,0.39,-6.8
2025-01-01 23:00:00,5.39,41.74,237.0,5.0,1,0.95,-1.3
2025-01-02 00:00:00,4.77,0.0,231.4,2.3,1,0.1,-9.4
2025-01-02 01:00:00,13.28,3060.0,221.5,0.4,1,2.68,0.7
2025-01-02 02:00:00,2.86,41.24,210.7,-0.0,1,0.57,-3.7
2025-01-02 03:00:00,5.88,47.53,236.1,-1.0,1,0.17,3.1
